Account ID	Summoner Name	Rank	Role	Lane	Wins	kills	deaths	assists	goldEarned	goldSpent	magicDamageDealt	magicDamageDealtToChampions	magicalDamageTaken	physicalDamageDealt	physicalDamageDealtToChampions	physicalDamageTaken	trueDamageDealt	trueDamageDealtToChampions	trueDamageTaken	totalDamageDealt	totalDamageDealtToChampions	totalDamageTaken	longestTimeSpentLiving	damageDealtToTurrets	damageDealtToObjectives	totalHeal	totalUnitsHealed	visionScore	wardsPlaced	wardsKilled	visionWardsBoughtInGame	sightWardsBoughtInGame	totalTimeCrowdControlDealt	damageSelfMitigated	timeCCingOthers	totalMinionsKilled	neutralMinionsKilled	largestCriticalStrike	neutralMinionsKilledTeamJungle	neutralMinionsKilledEnemyJungle	champLevel	doubleKills	tripleKills	quadraKills	pentaKills	unrealKills	inhibitorKills	turretKills	killingSprees	largestKillingSpree	largestMultiKill
ZRdhlGwymaJ9eIZ4V_iPCI17syQW8SHEeI1d2yAFkbxz9TE	A1nu	DIAMOND I	SOLO	TOP	58	2.57	5.91	7.55	8817.06	8138.84	45421.8	7529.48	7552.49	34854.57	3421.7	11386.35	4465.88	378.98	1075.21	84742.95	11330.84	20014.86	503.86	2455.41	4736.8	3585.84	1.18	15.73	7.73	1.67	1.72	0.0	285.33	21731.36	22.4	127.37	3.75	36.27	1.88	0.51	13.52	0.1	0.0	0.0	0.0	0.0	0.11	0.86	0.49	1.09	1.0
-VWsbaVRN5LQ1zB9yyjZUzAAyUmnccaatRk5pGY_MzDhuOY	Waterman	DIAMOND I	DUO_CARRY	BOTTOM	54	7.59	4.27	6.86	12222.61	11009.88	9853.76	2910.15	5823.27	127351.31	16529.35	9626.65	6170.18	854.59	640.73	143376.01	20294.76	16091.45	663.52	4306.99	12240.93	3310.56	1.84	20.73	9.03	2.62	2.86	0.0	111.63	9413.21	14.01	186.79	16.79	649.38	9.37	3.05	13.83	0.94	0.13	0.01	0.0	0.0	0.22	1.71	1.7	4.17	1.66
thJAEqkkjbpG-TlmyH5i7JWxkUaD4Y3F_VrJtV5731iYh7g	im a god u trash	DIAMOND I	NONE	JUNGLE	49	7.82	4.1	5.32	10667.1	9735.93	19556.9	2518.19	7133.95	103170.2	11975.01	15469.93	8780.18	1121.95	1345.73	131508.21	15615.8	23950.6	574.4	915.36	16772.36	11865.0	1.25	25.66	7.08	3.86	3.62	0.0	223.3	15753.46	11.75	44.4	104.49	47.25	66.94	12.36	13.51	0.9	0.09	0.01	0.0	0.0	0.12	0.43	1.64	4.26	1.61
hVAkSddlhKtgBt1DGuWrtP1gt3b84gbhh6C5_7SL83ZILsE	I look like yes	DIAMOND I	DUO_SUPPORT	BOTTOM	43	5.17	5.91	6.92	9953.03	9090.79	34656.62	6557.63	7342.94	65641.84	7568.48	11299.24	6706.05	1150.65	1108.95	107005.33	15277.52	19752.03	512.98	2312.2	7526.33	5709.56	2.13	23.65	10.76	2.91	2.62	0.0	184.64	13119.92	20.35	119.34	23.83	240.7	14.5	3.56	13.09	0.35	0.04	0.02	0.01	0.0	0.1	0.8	1.14	2.19	1.25
IwyMeQ5Q6jELKQ5czvq1l2bBM5ZlwO00OlUhN6U3tjuA_RA	Kurt0411	DIAMOND I	NONE	JUNGLE	56	7.82	4.7	7.06	11455.03	10440.21	50299.89	6769.55	7571.19	87519.46	9550.9	14960.86	12193.07	1479.53	1036.67	150013.19	17800.64	23569.6	652.1	1841.94	17712.13	9226.55	2.45	19.61	4.41	3.43	1.57	0.0	275.35	15919.19	17.23	71.76	95.18	148.86	65.55	6.85	13.98	0.88	0.1	0.02	0.0	0.0	0.16	0.96	1.6	4.39	1.54
mQ1XP1UR2bNxFfMn4Pjylo7G8kdTZz282h5oYUeSrUNKX8c	Heat	DIAMOND I	SOLO	TOP	58	6.66	5.02	5.22	11623.82	10693.15	38701.83	6594.64	8011.22	88913.94	12111.25	14898.19	8810.14	1944.78	1698.53	136426.73	20651.53	24608.89	530.99	5484.66	10235.99	7435.74	1.47	13.57	6.38	1.82	0.58	0.0	167.62	21315.53	16.8	174.8	11.83	115.66	4.53	3.44	14.6	0.68	0.13	0.02	0.01	0.0	0.21	1.86	1.39	3.65	1.51
Kix8IoEhsZKRNLSSL4QEDhkD4WR37qnPC4hl8OZUmY2VWHA	Dark Paradise	DIAMOND I	DUO_CARRY	BOTTOM	62	7.39	5.46	7.86	11900.88	10803.57	20574.64	3851.07	6985.14	107993.57	15369.33	11006.33	7581.41	1154.52	823.48	136150.31	20375.64	18815.73	498.72	3614.01	12926.42	4346.99	2.14	20.53	7.65	2.93	1.08	0.0	364.09	10937.63	26.16	145.11	34.44	404.63	21.24	4.64	13.89	1.05	0.22	0.03	0.0	0.0	0.17	1.47	1.67	3.67	1.72
VZ5OSN5xIK96kGZdUaDhTiTWo75Kvv4DaKGBzgBdCUnLiZU	Тhe Shy	DIAMOND I	SOLO	TOP	54	6.73	5.3	4.66	11602.79	10826.32	19472.04	4533.58	7142.01	114698.14	12763.92	15023.34	7185.88	445.23	2036.19	141356.67	17743.32	24202.43	484.05	3393.96	9428.51	6722.9	1.11	21.56	9.3	2.27	1.89	0.0	123.17	21587.0	17.01	175.02	24.38	47.63	11.12	5.27	14.31	0.68	0.12	0.03	0.0	0.0	0.19	1.28	1.48	3.39	1.59
J9-MxXcBvmye8wJRd40wE1Jn2okTsfCJkdzjhh11rDHmwC8	InsTinkT	DIAMOND I	DUO_CARRY	BOTTOM	60	5.13	5.14	9.3	10442.99	9483.46	30346.91	5189.97	7268.17	74454.8	8882.3	11783.6	6780.7	717.71	1008.75	111583.22	14790.66	20061.38	545.87	3894.06	12270.43	5458.74	2.39	25.16	9.84	4.08	2.27	0.0	207.31	16465.27	22.81	111.18	32.56	170.75	21.57	2.28	13.49	0.55	0.09	0.0	0.0	0.0	0.15	1.21	1.27	2.48	1.4
iqY4l-FyVca5Zca2eumR0tl9fP11QZ6mwVec0Cmv7oHSNfg	B9 wannadie irl	DIAMOND I	NONE	JUNGLE	61	8.4	5.68	7.46	11318.63	10319.8	40264.31	6012.26	9507.5	94096.46	10439.69	19329.78	11221.37	1977.33	1711.18	145583.06	18430.0	30549.31	546.9	1585.38	20245.51	13663.17	1.26	15.65	2.47	3.01	1.11	0.0	305.28	20861.61	16.13	38.47	108.42	20.02	72.69	7.68	13.82	0.91	0.06	0.0	0.0	0.0	0.25	0.89	2.06	3.81	1.52
